City,State,MGrid,Zip,Lat/Long
"""WHITE SANDS MISSILE RANGE",NM,DM62sg,88002,"32.26  -106.47"""
"""LAS CRUCES",NM,DM62sg,88002,"32.26  -106.47"""
"""WHITE SANDS",NM,DM62sg,88002,"32.26  -106.47"""
"""LAS CRUCES",NM,DM62ph,88003,"32.33  -106.75"""
"""UNIVERSITY PARK",NM,DM62ph,88003,"32.33  -106.75"""
"""LAS CRUCES",NM,DM62ph,88004,"32.33  -106.75"""
"""LAS CRUCES",NM,DM62ph,88005,"32.33  -106.75"""
"""LAS CRUCES",NM,DM62ph,88006,"32.33  -106.75"""
"""LAS CRUCES",NM,DM62ph,88007,"32.33  -106.75"""
"""LAS CRUCES",NM,DM62ph,88011,"32.33  -106.75"""
"""LAS CRUCES",NM,DM62ph,88012,"32.33  -106.75"""
"""LAS CRUCES",NM,DM62oh,88013,"32.31  -106.79"""
"""LAS VEGAS",NM,DM75jo,87701,"35.59  -105.22"""
"""ROMEROVILLE",NM,DM75jo,87701,"35.59  -105.22"""
"""WEST LAS VEGAS",NM,DM75jo,87701,"35.59  -105.22"""
"""SAPELLO",NM,DM75js,87745,"35.77  -105.25"""
"""LAS VEGAS",NM,DM75js,87745,"35.77  -105.25"""
"""BEULAH",NM,DM75js,87745,"35.77  -105.25"""
"""LEMITAR",NM,DM64nd,87823,"34.16  -106.91"""
"""LINCOLN",NM,DM73hl,88338,"33.49  -105.38"""
"""LINDRITH",NM,DM66lh,87029,"36.3  -107.04"""
"""GAVILAN",NM,DM66lh,87029,"36.3  -107.04"""
"""OJITO",NM,DM66lh,87029,"36.3  -107.04"""
"""LOCO HILLS",NM,DM82at,88255,"32.81  -103.97"""
"""LOGAN",NM,DM85gi,88426,"35.36  -103.44"""
"""GALLEGOS",NM,DM85gi,88426,"35.36  -103.44"""
"""PLAYAS",NM,DM52pa,88009,"32.02  -108.68"""
"""LORDSBURG",NM,DM52pa,88009,"32.02  -108.68"""
"""LORDSBURG",NM,DM52pi,88045,"32.34  -108.7"""
"""ROAD FORKS",NM,DM52pi,88045,"32.34  -108.7"""
"""VIRDEN",NM,DM52pi,88045,"32.34  -108.7"""
"""SEPAR",NM,DM52pi,88045,"32.34  -108.7"""
"""REDROCK",NM,DM52pq,88055,"32.68  -108.73"""
"""LORDSBURG",NM,DM52pq,88055,"32.68  -108.73"""
"""LOS ALAMOS",NM,DM65uv,87544,"35.89  -106.28"""
"""WHITE ROCK",NM,DM65uv,87544,"35.89  -106.28"""
"""BANDELIER NATIONAL MONUMENT",NM,DM65uv,87544,"35.89  -106.28"""
"""LOS ALAMOS",NM,DM65uv,87545,"35.89  -106.28"""
"""SCIENTIFIC LAB",NM,DM65uv,87545,"35.89  -106.28"""
"""LOS LUNAS",NM,DM64pt,87031,"34.81  -106.73"""
"""LOS OJOS",NM,DM66rr,87551,"36.72  -106.56"""
"""RUTHERON",NM,DM66rr,87551,"36.72  -106.56"""
"""BRAZOS",NM,DM66rr,87551,"36.72  -106.56"""
"""LOVING",NM,DM72wg,88256,"32.28  -104.09"""
"""LOVINGTON",NM,DM82hw,88260,"32.94  -103.35"""
"""BUCKEYE",NM,DM82hw,88260,"32.94  -103.35"""
"""MCDONALD",NM,DM83jb,88262,"33.07  -103.21"""
"""LOVINGTON",NM,DM83jb,88262,"33.07  -103.21"""
"""MC DONALD",NM,DM83jb,88262,"33.07  -103.21"""
